dataset,method,feature_index,feature,n_real,n_synthetic,real_mean,synthetic_mean,mean_difference,t_statistic,p_value,ks_statistic,p_below_0_05
HIV,Bootstrap,1,spikeProduction_D1D2,91,91,3.140899490524124,3.1445329634697883,0.0036334729456641,-0.1936280097640472,0.8466858692989779,0.0989010989010989,False
HIV,Bootstrap,2,spikeDecay_D1D2,91,91,0.0244701178642092,0.024434818548488,-3.529931572112538e-05,0.2497818250239677,0.8030409281332301,0.0659340659340659,False
HIV,Bootstrap,3,spikeProduction_D3,91,91,0.62353461260324,0.6236200876288361,8.547502559619335e-05,-0.1429715925287764,0.8864726481976918,0.0659340659340659,False
HIV,Bootstrap,4,spikeDecay_D3,91,91,0.0087038677308585,0.0086958599430355,-8.007787823021209e-06,0.2329421004206193,0.8160722990681819,0.0439560439560439,False
HIV,Bootstrap,5,RBDProduction_D1D2,91,91,2.404523417189881,2.412220218679407,0.007696801489526,-0.5080517772637135,0.6120394351286933,0.0769230769230769,False
HIV,Bootstrap,6,RBDDecay_D1D2,91,91,0.0215587161972627,0.0215647780223862,6.06182512346079e-06,-0.1752201506259708,0.8611043837219418,0.0769230769230769,False
HIV,Bootstrap,7,RBDProduction_D3,91,91,0.8169864972869119,0.8172564041483533,0.0002699068614414,-0.076800885037052,0.9388674186846016,0.0549450549450549,False
HIV,Bootstrap,8,RBDDecay_D3,91,91,0.0113765128918892,0.0113685934671333,-7.919424755888776e-06,0.2434590640430289,0.8079276922733887,0.0769230769230769,False
HIV,Bootstrap,9,V1_blood_IgGspike,91,91,6.896112140718397,8.029973696876358,1.13386155615796,-0.959302083431341,0.3387061920977313,0.0989010989010989,False
HIV,Bootstrap,10,V4_blood_IgGspike,91,91,203.0056377518308,211.9163274594716,8.910689707640785,-0.2034013753095327,0.8390519614833617,0.0659340659340659,False
HIV,Bootstrap,11,V4a_blood_IgGspike,91,91,125.34833855812366,134.2659466463131,8.91760808818944,-0.2608643590165145,0.7945224911451738,0.0769230769230769,False
HIV,Bootstrap,12,V6_blood_IgGspike,91,91,924.6595707568492,953.0356494358608,28.37607867901147,-0.4081479948432372,0.6836520830266063,0.0549450549450549,False
HIV,Bootstrap,13,V8_blood_IgGspike,91,91,483.44704525287335,488.7147273178939,5.267682065020551,-0.0823507857786268,0.934459385834433,0.0549450549450549,False
HIV,Bootstrap,14,V8a_blood_IgGspike,91,91,339.3911614889627,332.7662280156062,-6.624933473356521,0.1351173194535265,0.8926707786645197,0.0989010989010989,False
HIV,Bootstrap,15,V8b_blood_IgGspike,91,91,1349.6065938760946,1386.6811282818137,37.07453440571885,-0.8768677793978111,0.3817416888160609,0.0769230769230769,False
HIV,Bootstrap,16,V9_blood_IgGspike,91,91,1015.3168724814614,1003.354740855458,-11.962131626003384,0.1706671457385218,0.8646780488395572,0.0659340659340659,False
HIV,Bootstrap,17,V10_blood_IgGspike,91,91,962.7392485063154,873.5945944314475,-89.14465407486796,1.1144456429547993,0.2665740895965229,0.1318681318681318,False
HIV,Bootstrap,18,V11_blood_IgGspike,91,91,1314.8465629829154,1322.901592883435,8.055029900519457,-0.1733537477690336,0.862569365914344,0.0439560439560439,False
HIV,Bootstrap,19,V1_blood_IgGRBD,91,91,5.13758461029975,6.142148277261755,1.0045636669620048,-0.6855216072053865,0.4940225784553357,0.0549450549450549,False
HIV,Bootstrap,20,V4_blood_IgGRBD,91,91,226.04022855549067,297.0746452362983,71.03441668080762,-0.6838781536341187,0.4950520866797052,0.0549450549450549,False
HIV,Bootstrap,21,V4a_blood_IgGRBD,91,91,159.47874348504203,217.638984318618,58.1602408335759,-0.5948709682879479,0.5528241882004217,0.0769230769230769,False
HIV,Bootstrap,22,V6_blood_IgGRBD,91,91,1757.633392538343,1837.280332287589,79.64693974924626,-0.3785522945999446,0.7054664582780242,0.0769230769230769,False
HIV,Bootstrap,23,V8_blood_IgGRBD,91,91,562.1188489578583,594.3948441075755,32.27599514971723,-0.2604043461549827,0.794850943964671,0.0549450549450549,False
HIV,Bootstrap,24,V8a_blood_IgGRBD,91,91,494.1665499446156,507.780719935239,13.614169990623395,-0.1089401817430893,0.9133713981054978,0.0769230769230769,False
HIV,Bootstrap,25,V8b_blood_IgGRBD,91,91,2589.502699417073,2699.711107647026,110.20840822995342,-0.5869993341981216,0.5579419479708944,0.0769230769230769,False
HIV,Bootstrap,26,V9_blood_IgGRBD,91,91,1610.33636033928,1458.5676180189782,-151.76874232030173,0.6544138859719462,0.5136866275920298,0.0659340659340659,False
HIV,Bootstrap,27,V10_blood_IgGRBD,91,91,1740.384233364692,1574.0438987344176,-166.34033463027458,0.6479724377687174,0.5178285343641545,0.1098901098901098,False
HIV,Bootstrap,28,V11_blood_IgGRBD,91,91,2435.6731343898145,2341.6543134280614,-94.01882096175314,0.4230161179155598,0.6727892789384837,0.0659340659340659,False
HIV,Bootstrap,29,V4_Saliva_IgGspike,91,91,44.520155346000585,45.48128932386964,0.9611339778690536,-0.2189925482532025,0.8269041367826966,0.0439560439560439,False
HIV,Bootstrap,30,V4_Saliva_IgGRBD,91,91,34.03445494174957,34.72669926187494,0.6922443201253685,-0.131632843061761,0.8954224329553676,0.0659340659340659,False
