dataset,method,run,separability_auc
HIV,SMOTE,49,0.5189035916824196
HIV,GMM-guided SMOTE,0,0.5444234404536862
HIV,GMM-guided SMOTE,1,0.5595463137996219
HIV,GMM-guided SMOTE,2,0.553875236294896
HIV,GMM-guided SMOTE,3,0.5916824196597353
HIV,GMM-guided SMOTE,4,0.5727788279773156
HIV,GMM-guided SMOTE,5,0.5453686200378072
HIV,GMM-guided SMOTE,6,0.5945179584120983
HIV,GMM-guided SMOTE,7,0.5482041587901701
HIV,GMM-guided SMOTE,8,0.6502835538752363
HIV,GMM-guided SMOTE,9,0.5217391304347827
HIV,GMM-guided SMOTE,10,0.5236294896030246
HIV,GMM-guided SMOTE,11,0.550094517958412
HIV,GMM-guided SMOTE,12,0.5009451795841209
HIV,GMM-guided SMOTE,13,0.5368620037807184
HIV,GMM-guided SMOTE,14,0.6332703213610585
HIV,GMM-guided SMOTE,15,0.5434782608695652
HIV,GMM-guided SMOTE,16,0.5264650283553876
HIV,GMM-guided SMOTE,17,0.5680529300567108
HIV,GMM-guided SMOTE,18,0.6937618147448015
HIV,GMM-guided SMOTE,19,0.5283553875236295
HIV,GMM-guided SMOTE,20,0.5160680529300568
HIV,GMM-guided SMOTE,21,0.5784499054820416
HIV,GMM-guided SMOTE,22,0.6020793950850661
HIV,GMM-guided SMOTE,23,0.6266540642722117
HIV,GMM-guided SMOTE,24,0.6001890359168243
HIV,GMM-guided SMOTE,25,0.5264650283553876
HIV,GMM-guided SMOTE,26,0.550094517958412
HIV,GMM-guided SMOTE,27,0.5103969754253308
HIV,GMM-guided SMOTE,28,0.6587901701323251
HIV,GMM-guided SMOTE,29,0.5141776937618148
HIV,GMM-guided SMOTE,30,0.5992438563327032
HIV,GMM-guided SMOTE,31,0.5434782608695652
HIV,GMM-guided SMOTE,32,0.6247637051039697
HIV,GMM-guided SMOTE,33,0.555765595463138
HIV,GMM-guided SMOTE,34,0.5283553875236295
HIV,GMM-guided SMOTE,35,0.5661625708884688
HIV,GMM-guided SMOTE,36,0.546313799621928
HIV,GMM-guided SMOTE,37,0.5085066162570888
HIV,GMM-guided SMOTE,38,0.5595463137996219
HIV,GMM-guided SMOTE,39,0.5
HIV,GMM-guided SMOTE,40,0.5132325141776938
HIV,GMM-guided SMOTE,41,0.6483931947069943
HIV,GMM-guided SMOTE,42,0.5727788279773157
HIV,GMM-guided SMOTE,43,0.6162570888468809
HIV,GMM-guided SMOTE,44,0.6493383742911154
HIV,GMM-guided SMOTE,45,0.6313799621928167
HIV,GMM-guided SMOTE,46,0.505671077504726
HIV,GMM-guided SMOTE,47,0.501890359168242
HIV,GMM-guided SMOTE,48,0.5907372400756143
HIV,GMM-guided SMOTE,49,0.5217391304347826
HIV,CVAE,0,1.0
HIV,CVAE,1,1.0
HIV,CVAE,2,1.0
HIV,CVAE,3,1.0
HIV,CVAE,4,1.0
HIV,CVAE,5,1.0
HIV,CVAE,6,0.9924385633270322
HIV,CVAE,7,1.0
HIV,CVAE,8,1.0
HIV,CVAE,9,1.0
HIV,CVAE,10,1.0
HIV,CVAE,11,1.0
HIV,CVAE,12,0.996219281663516
HIV,CVAE,13,1.0
HIV,CVAE,14,1.0
HIV,CVAE,15,1.0
HIV,CVAE,16,1.0
HIV,CVAE,17,0.998109640831758
HIV,CVAE,18,1.0
HIV,CVAE,19,0.998109640831758
HIV,CVAE,20,1.0
HIV,CVAE,21,0.9792060491493384
HIV,CVAE,22,1.0
HIV,CVAE,23,1.0
HIV,CVAE,24,1.0
HIV,CVAE,25,1.0
HIV,CVAE,26,1.0
HIV,CVAE,27,0.998109640831758
HIV,CVAE,28,1.0
HIV,CVAE,29,1.0
HIV,CVAE,30,0.995274102079395
HIV,CVAE,31,1.0
