dataset,class,n_samples,AIC (K=2),AIC (K=3),AIC (K=4),AIC (K=5),BIC (K=2),BIC (K=3),BIC (K=4),BIC (K=5),AIC-selected K,BIC-selected K,criteria agree
Breast Cancer,0,212,3278.899056796553,3091.8499568658717,2290.202337460213,1205.9847116091491,6605.276054996517,8083.093747303154,8946.312920134813,9526.962086521067,5,2,False
Breast Cancer,1,357,3460.486466556832,2546.7894055280317,1521.4084367162272,1418.2838354910477,7303.322626300454,8312.982513034354,9210.95849198525,11031.190838522773,5,2,False
Diabetes,0,500,8626.790921348049,7521.418922057851,6962.425323118994,6819.59892715012,9001.891042107623,8086.176407246425,7716.840172736566,7763.671141196692,5,4,False
Diabetes,1,268,4243.424083747785,4140.653400136844,3996.9146733646267,3954.001662610135,4563.021925013251,4621.845655525299,4639.70134287607,4758.382746244567,5,2,False
HIV,0,23,603.4629618250301,4711.778804747352,7910.84837668412,12246.289667284831,5325.9834058743645,11796.127217929316,17357.024758998716,24054.294018732056,2,2,True
HIV,1,68,-2797.1426772888262,-3649.277694234739,309.62194193798496,497.9969465894246,6433.789868538603,10198.230878358992,18773.706541298016,23578.65757271576,3,2,False
