dataset,method,sigma,sep_mean,sep_sd
Breast Cancer,SMOTE,0.1,0.5302078203486655,0.018671770318383955
Breast Cancer,SMOTE,0.2,0.679474047079681,0.022496326125552434
Breast Cancer,SMOTE,0.3,0.8622328375849502,0.01065475694372184
Breast Cancer,SMOTE,0.5,0.9649807938540332,0.0058728916086241275
Breast Cancer,SMOTE,0.75,0.9887570176302571,0.004393044262858818
Breast Cancer,SMOTE,1.0,0.9958879149019995,0.0024633111396433855
Breast Cancer,SMOTE,1.5,0.998946124298237,0.0009279279592880512
Breast Cancer,SMOTE,2.0,0.9996306510391018,0.0004540305553675094
Breast Cancer,GMM-guided SMOTE,0.0,0.5830936668964838,0.022734053650892025
Breast Cancer,GMM-guided SMOTE,0.05,0.5827538658524574,0.027795747371294498
Breast Cancer,GMM-guided SMOTE,0.1,0.5681522702649463,0.02762676415726199
Breast Cancer,GMM-guided SMOTE,0.2,0.6496995961784695,0.028376589643831197
Breast Cancer,GMM-guided SMOTE,0.3,0.8439032798187729,0.02156339299320335
Breast Cancer,GMM-guided SMOTE,0.5,0.962301782724318,0.007593951963017719
Breast Cancer,GMM-guided SMOTE,0.75,0.9903033586132178,0.0033450103818328577
Breast Cancer,GMM-guided SMOTE,1.0,0.9964887225450605,0.0018106790516787233
Breast Cancer,GMM-guided SMOTE,1.5,0.9990938638825962,0.0008750652151277877
Breast Cancer,GMM-guided SMOTE,2.0,0.9997192947897172,0.0001630350178001128
Breast Cancer,CVAE,0.0,0.7707968088249777,0.02889514427860289
Breast Cancer,CVAE,0.05,0.754264749335172,0.030501672764343218
Breast Cancer,CVAE,0.1,0.7431892051610363,0.023958755296681462
Breast Cancer,CVAE,0.2,0.8052053580222595,0.012356993161529488
Breast Cancer,CVAE,0.3,0.8859154929577464,0.009961118019309005
Breast Cancer,CVAE,0.5,0.9718654584851768,0.003600510633526271
Breast Cancer,CVAE,0.75,0.9920072884861618,0.0027683207675101938
Breast Cancer,CVAE,1.0,0.9977789815817986,0.001295885683644542
Breast Cancer,CVAE,1.5,0.9993696444400669,0.000589026357038982
Breast Cancer,CVAE,2.0,0.9997586920122131,0.00020683541810305212
Diabetes,Bootstrap,0.0,0.7191162109375,0.01947713253879314
Diabetes,Bootstrap,0.05,0.9382568359375,0.009445525618607202
Diabetes,Bootstrap,0.1,0.9450005425347223,0.009814526602340737
Diabetes,Bootstrap,0.2,0.9539984809027778,0.008757679275764926
Diabetes,Bootstrap,0.3,0.9652777777777779,0.007977497597275394
Diabetes,Bootstrap,0.5,0.9736273871527779,0.00570616294271693
Diabetes,Bootstrap,0.75,0.9806179470486113,0.006825687319360225
Diabetes,Bootstrap,1.0,0.9862358940972221,0.004642964162487116
Diabetes,Bootstrap,1.5,0.9934190538194445,0.001445002301403416
Diabetes,Bootstrap,2.0,0.996435546875,0.001340110184156744
Diabetes,Column-wise,0.0,0.7769232855902777,0.01596816651825556
Diabetes,Column-wise,0.05,0.9820963541666666,0.004599401904224007
Diabetes,Column-wise,0.1,0.9807915581597222,0.004275791491477498
Diabetes,Column-wise,0.2,0.9822808159722222,0.0045258957371453945
Diabetes,Column-wise,0.3,0.9839409722222221,0.0034926660352979358
Diabetes,Column-wise,0.5,0.9850016276041667,0.003962921844168745
Diabetes,Column-wise,0.75,0.988918728298611,0.0013499742258661065
Diabetes,Column-wise,1.0,0.9893636067708333,0.002870226609197385
Diabetes,Column-wise,1.5,0.993948025173611,0.0020800989263055143
Diabetes,Column-wise,2.0,0.9982096354166667,0.0011227978580270214
Diabetes,GMM,0.0,0.9794704861111111,0.006838459175479445
Diabetes,GMM,0.05,0.980685763888889,0.006981976071748485
Diabetes,GMM,0.1,0.9809678819444445,0.005324180190400215
Diabetes,GMM,0.2,0.978054470486111,0.005291389569325057
Diabetes,GMM,0.3,0.9777750651041666,0.005213414292302652
Diabetes,GMM,0.5,0.9777153862847223,0.003769415916660407
Diabetes,GMM,0.75,0.9835015190972222,0.005589652069225704
Diabetes,GMM,1.0,0.9904432508680555,0.003679785497948833
Diabetes,GMM,1.5,0.9940945095486111,0.0010998076762061217
Diabetes,GMM,2.0,0.9978244357638889,0.0008114748988131612
Diabetes,SMOTE,0.0,0.7120578342013888,0.021129440512507237
Diabetes,SMOTE,0.05,0.9625271267361111,0.006221961483336401
Diabetes,SMOTE,0.1,0.9624104817708332,0.00771653660071931
Diabetes,SMOTE,0.2,0.9660210503472222,0.009739984453826015
Diabetes,SMOTE,0.3,0.9693223741319444,0.007450699680226282
Diabetes,SMOTE,0.5,0.9752549913194445,0.0057858129548953325
Diabetes,SMOTE,0.75,0.9844346788194445,0.004709599835034283
Diabetes,SMOTE,1.0,0.9902208116319444,0.0023866749294855034
Diabetes,SMOTE,1.5,0.9961995442708332,0.0014846876780535024
Diabetes,SMOTE,2.0,0.9983778211805555,0.0007014031907103996
Diabetes,GMM-guided SMOTE,0.0,0.713937717013889,0.01989917112427939
Diabetes,GMM-guided SMOTE,0.05,0.964892578125,0.006477076178787285
Diabetes,GMM-guided SMOTE,0.1,0.9625868055555555,0.0071938017464395
Diabetes,GMM-guided SMOTE,0.2,0.9660020616319445,0.0076200426142013205
Diabetes,GMM-guided SMOTE,0.3,0.9673638237847223,0.006740867840419077
Diabetes,GMM-guided SMOTE,0.5,0.975490993923611,0.004438078281303812
Diabetes,GMM-guided SMOTE,0.75,0.9833685980902777,0.004244197846395277
Diabetes,GMM-guided SMOTE,1.0,0.9893446180555555,0.0009758690149564521
Diabetes,GMM-guided SMOTE,1.5,0.9954725477430555,0.0014635722603496969
Diabetes,GMM-guided SMOTE,2.0,0.9976128472222223,0.0011725843503988405
Diabetes,CVAE,0.0,0.9785888671875,0.002855668501180873
Diabetes,CVAE,0.05,0.978173828125,0.004085698922409818
Diabetes,CVAE,0.1,0.9746663411458334,0.003876337504960368
Diabetes,CVAE,0.2,0.9698079427083333,0.001126527332934028
Diabetes,CVAE,0.3,0.9678656684027777,0.0037950042052324533
Diabetes,CVAE,0.5,0.9732503255208332,0.006203721453934908
Diabetes,CVAE,0.75,0.9824055989583333,0.0034797734695645056
Diabetes,CVAE,1.0,0.9880316840277779,0.004972224914531091
Diabetes,CVAE,1.5,0.9923719618055555,0.002197409626411295
Diabetes,CVAE,2.0,0.9956244574652778,0.0014498625075045526
