dataset,method,fraction,separability_auc
Breast Cancer,GMM-guided SMOTE,0.25,0.5535714285714285
Breast Cancer,GMM-guided SMOTE,0.25,0.6428571428571429
Breast Cancer,GMM-guided SMOTE,0.25,0.678968253968254
Breast Cancer,GMM-guided SMOTE,0.25,0.7095238095238094
Breast Cancer,CVAE,0.25,0.9242063492063491
Breast Cancer,CVAE,0.25,0.9369047619047619
Breast Cancer,CVAE,0.25,0.8206349206349206
Breast Cancer,CVAE,0.25,0.8130952380952381
Breast Cancer,CVAE,0.25,0.8884920634920636
Breast Cancer,Bootstrap,0.5,0.7647292203927792
Breast Cancer,Bootstrap,0.5,0.7379488196786352
Breast Cancer,Bootstrap,0.5,0.7175163658004364
Breast Cancer,Bootstrap,0.5,0.707002578853402
Breast Cancer,Bootstrap,0.5,0.6566157508430868
Breast Cancer,Column-wise,0.5,0.9952390398730411
Breast Cancer,Column-wise,0.5,0.9985121999603254
Breast Cancer,Column-wise,0.5,0.988295973021226
Breast Cancer,Column-wise,0.5,0.9957349732195993
Breast Cancer,Column-wise,0.5,0.9970243999206507
Breast Cancer,GMM,0.5,0.9803610394762944
Breast Cancer,GMM,0.5,0.9812537195000992
Breast Cancer,GMM,0.5,0.9824439595318389
Breast Cancer,GMM,0.5,0.9870065463201746
Breast Cancer,GMM,0.5,0.9878000396746678
Breast Cancer,SMOTE,0.5,0.6585002975600079
Breast Cancer,SMOTE,0.5,0.558024201547312
Breast Cancer,SMOTE,0.5,0.5684388018250347
Breast Cancer,SMOTE,0.5,0.5407657210870859
Breast Cancer,SMOTE,0.5,0.6357865502876414
Breast Cancer,GMM-guided SMOTE,0.5,0.6184288831581035
Breast Cancer,GMM-guided SMOTE,0.5,0.6735766712953779
Breast Cancer,GMM-guided SMOTE,0.5,0.6713945645705217
Breast Cancer,GMM-guided SMOTE,0.5,0.607121602856576
Breast Cancer,GMM-guided SMOTE,0.5,0.5963102559016068
Breast Cancer,CVAE,0.5,0.7519341400515771
Breast Cancer,CVAE,0.5,0.8276135687363618
Breast Cancer,CVAE,0.5,0.8834556635588177
Breast Cancer,CVAE,0.5,0.8995239039873041
Breast Cancer,CVAE,0.5,0.8865304503074787
Breast Cancer,Bootstrap,0.75,0.6797302063128197
Breast Cancer,Bootstrap,0.75,0.6699876564979721
Breast Cancer,Bootstrap,0.75,0.7108975489331688
Breast Cancer,Bootstrap,0.75,0.6718391818021513
Breast Cancer,Bootstrap,0.75,0.6853729500969847
Breast Cancer,Column-wise,0.75,1.0
Breast Cancer,Column-wise,0.75,0.9979280550167519
Breast Cancer,Column-wise,0.75,0.9992946570269793
Breast Cancer,Column-wise,0.75,0.9998236642567448
Breast Cancer,Column-wise,0.75,0.9980162228883794
Breast Cancer,GMM,0.75,0.9927702345265386
Breast Cancer,GMM,0.75,0.9898166108270146
Breast Cancer,GMM,0.75,0.9972227120437313
Breast Cancer,GMM,0.75,0.9949303473814143
Breast Cancer,GMM,0.75,0.9977517192734968
Breast Cancer,SMOTE,0.75,0.5142831952036677
Breast Cancer,SMOTE,0.75,0.5563833539058367
Breast Cancer,SMOTE,0.75,0.5069652618585787
Breast Cancer,SMOTE,0.75,0.520499030153412
Breast Cancer,SMOTE,0.75,0.5453182860165755
Breast Cancer,GMM-guided SMOTE,0.75,0.5277287956268735
Breast Cancer,GMM-guided SMOTE,0.75,0.510051137365544
Breast Cancer,GMM-guided SMOTE,0.75,0.5009257626520897
Breast Cancer,GMM-guided SMOTE,0.75,0.5235849056603774
Breast Cancer,GMM-guided SMOTE,0.75,0.5262299418092048
Breast Cancer,CVAE,0.75,0.7679862458120262
Breast Cancer,CVAE,0.75,0.8238405924880974
Breast Cancer,CVAE,0.75,0.8144066302239463
Breast Cancer,CVAE,0.75,0.7968171398342445
Breast Cancer,CVAE,0.75,0.7970816434491272
Breast Cancer,Bootstrap,1.0,0.7242440657933615
Breast Cancer,Bootstrap,1.0,0.7331576873830394
Breast Cancer,Bootstrap,1.0,0.7197872549985226
Breast Cancer,Bootstrap,1.0,0.7164384910863784
Breast Cancer,Bootstrap,1.0,0.7026494632128435
Breast Cancer,Column-wise,1.0,0.9998030138875209
Breast Cancer,Column-wise,1.0,1.0
Breast Cancer,Column-wise,1.0,0.9993844183985029
Breast Cancer,Column-wise,1.0,1.0
Breast Cancer,Column-wise,1.0,1.0
Breast Cancer,GMM,1.0,0.9923914114054959
Breast Cancer,GMM,1.0,0.9924406579336157
Breast Cancer,GMM,1.0,0.9814094356347878
Breast Cancer,GMM,1.0,0.9975622968580715
Breast Cancer,GMM,1.0,0.9919974391805378
Breast Cancer,SMOTE,1.0,0.5098246823598936
Breast Cancer,SMOTE,1.0,0.5373042450507239
Breast Cancer,SMOTE,1.0,0.5872894710922879
Breast Cancer,SMOTE,1.0,0.5606717226435536
Breast Cancer,SMOTE,1.0,0.5361715749039693
Breast Cancer,GMM-guided SMOTE,1.0,0.5535063528021275
Breast Cancer,GMM-guided SMOTE,1.0,0.5097015660395943
Breast Cancer,GMM-guided SMOTE,1.0,0.5433861912735152
Breast Cancer,GMM-guided SMOTE,1.0,0.5206835418103024
Breast Cancer,GMM-guided SMOTE,1.0,0.6027528809218949
Breast Cancer,CVAE,1.0,0.8630454052989264
Breast Cancer,CVAE,1.0,0.8023736826553728
Breast Cancer,CVAE,1.0,0.8664926622673101
Breast Cancer,CVAE,1.0,0.8514478479267211
Breast Cancer,CVAE,1.0,0.8142913424603566
Diabetes,Bootstrap,0.25,0.7918836805555556
Diabetes,Bootstrap,0.25,0.744140625
Diabetes,Bootstrap,0.25,0.7591145833333333
Diabetes,Bootstrap,0.25,0.7059461805555556
Diabetes,Bootstrap,0.25,0.7575954861111112
Diabetes,Column-wise,0.25,0.5980902777777778
Diabetes,Column-wise,0.25,0.6323784722222222
Diabetes,Column-wise,0.25,0.7532552083333334
Diabetes,Column-wise,0.25,0.6796874999999999
Diabetes,Column-wise,0.25,0.6749131944444444
Diabetes,GMM,0.25,0.9600694444444444
Diabetes,GMM,0.25,0.9097222222222222
Diabetes,GMM,0.25,0.9403211805555556
Diabetes,GMM,0.25,0.9327256944444444
Diabetes,GMM,0.25,0.9016927083333333
Diabetes,SMOTE,0.25,0.5104166666666667
Diabetes,SMOTE,0.25,0.5766059027777778
Diabetes,SMOTE,0.25,0.5104166666666667
