dataset,method,sigma,sep_mean,sep_sd
Breast Cancer,GMM,0.5,0.9972421944252929,0.000960307298335461
Breast Cancer,GMM,0.75,0.9976238550182213,0.00028316753668861105
Breast Cancer,GMM,1.0,0.9993351718703831,2.4623264059886463e-05
Breast Cancer,GMM,1.5,0.9997291440953413,7.386979217960388e-05
Breast Cancer,GMM,2.0,0.9999015069437605,7.850462293418876e-17
Breast Cancer,SMOTE,0.0,0.526900915985423,0.0007263862897665674
Breast Cancer,SMOTE,0.05,0.5360977051117897,0.0023884566138087093
Breast Cancer,SMOTE,0.1,0.5093691519747858,0.003139466167635163
Breast Cancer,SMOTE,0.2,0.7017507140746577,0.007620900226534
Breast Cancer,SMOTE,0.3,0.8713065103910175,0.004715355067467675
Breast Cancer,SMOTE,0.5,0.9669555796316359,0.000640204865557048
Breast Cancer,SMOTE,0.75,0.9925637742539151,0.0007386979217965384
Breast Cancer,SMOTE,1.0,0.9979685807150596,0.000652516497586908
Breast Cancer,SMOTE,1.5,0.9995567812469222,0.00014773958435931878
Breast Cancer,SMOTE,2.0,0.9999507534718802,4.9246528119772925e-05
Breast Cancer,GMM-guided SMOTE,0.0,0.5960922879936964,0.008261105092090992
Breast Cancer,GMM-guided SMOTE,0.05,0.5954890180242294,0.017014675465379714
Breast Cancer,GMM-guided SMOTE,0.1,0.5851349354870482,0.012176204077612551
Breast Cancer,GMM-guided SMOTE,0.2,0.624162809021964,0.0019083029646410066
Breast Cancer,GMM-guided SMOTE,0.3,0.8486777307199842,0.004493745690928752
Breast Cancer,GMM-guided SMOTE,0.5,0.9711661577858761,0.0015758888998326226
Breast Cancer,GMM-guided SMOTE,0.75,0.9941889096818675,0.0016251354279523955
Breast Cancer,GMM-guided SMOTE,1.0,0.9978085294986703,0.0008618142420959152
Breast Cancer,GMM-guided SMOTE,1.5,0.9998153255195509,8.618142420957486e-05
Breast Cancer,GMM-guided SMOTE,2.0,0.9998891953117305,3.693489608980194e-05
Breast Cancer,CVAE,0.0,0.9724711907810499,0.0074854722742047075
Breast Cancer,CVAE,0.05,0.9705136412882891,0.009098296070127077
Breast Cancer,CVAE,0.1,0.9621417315079288,0.013752092977445118
Breast Cancer,CVAE,0.2,0.947256968383729,0.005835713582192481
Breast Cancer,CVAE,0.3,0.9414335664335663,0.006094257854821317
Breast Cancer,CVAE,0.5,0.9741948192652419,0.0022160937653895596
Breast Cancer,CVAE,0.75,0.99788239929085,0.0
Breast Cancer,CVAE,1.0,0.9997537673594012,7.850462293418876e-17
