dataset,method,feature_index,feature,kld
HIV,Column-wise,31,V5_Saliva_IgGRBD,0.5834884496910997
HIV,Column-wise,32,V8_Saliva_IgGspike,0.2667654187471096
HIV,Column-wise,33,V8_Saliva_IgGRBD,0.6284002715945217
HIV,Column-wise,34,V8b_Saliva_IgGspike,0.5968262549564478
HIV,Column-wise,35,V8b_Saliva_IgGRBD,0.4230468908473835
HIV,Column-wise,36,V9_Saliva_IgGspike,0.9783642712142324
HIV,Column-wise,37,V9_Saliva_IgGRBD,0.6002661887943476
HIV,Column-wise,38,V4_Saliva_IgAspike,0.5560769480730106
HIV,Column-wise,39,V4_Saliva_IgARBD,0.4725493304686408
HIV,Column-wise,40,V5_Saliva_IgAspike,0.9311950356810164
HIV,Column-wise,41,V5_Saliva_IgARBD,0.4208701379494197
HIV,Column-wise,42,V8_Saliva_IgAspike,0.397647968686363
HIV,Column-wise,43,V8_Saliva_IgARBD,0.7126720264875118
HIV,Column-wise,44,V8b_Saliva_IgAspike,0.9388092396296293
HIV,Column-wise,45,V8b_Saliva_IgARBD,0.9370232804971352
HIV,Column-wise,46,V9_Saliva_IgAspike,0.2194947214857481
HIV,Column-wise,47,V9_Saliva_IgARBD,0.374913132699838
HIV,Column-wise,48,V8_IFNg,0.4253955602417973
HIV,Column-wise,49,V9_IFNg,1.19710015144417
HIV,Column-wise,50,V8_IL2,0.2034613489768904
HIV,Column-wise,51,V9_IL2,0.882044974735446
HIV,Column-wise,52,V9Dual,0.2500810859630408
HIV,Column-wise,53,V8Dual,0.5728706259336092
HIV,Column-wise,54,IFNG_production,0.305063145398587
HIV,Column-wise,55,Il2_production,0.5273556980153601
HIV,Column-wise,56,RATIO_CD4CD8,0.4925485041028193
HIV,Column-wise,57,V8Neut,0.4845530739604134
HIV,Column-wise,58,V9Neut,0.2121190442711639
HIV,Column-wise,59,V7_ACE2,0.3444915019606986
HIV,Column-wise,60,V8_ACE2,0.5437794162720253
HIV,Column-wise,61,V8b_ACE2,1.1252675950529183
HIV,Column-wise,62,V9_ACE2,0.4156057791144536
HIV,SMOTE,0,spikeProduction_D1D2,1.1524027599285904
HIV,SMOTE,1,spikeDecay_D1D2,2.5794721551276645
HIV,SMOTE,2,spikeProduction_D3,2.446985880818179
HIV,SMOTE,3,spikeDecay_D3,2.266873620521077
HIV,SMOTE,4,RBDProduction_D1D2,2.1123679802591995
HIV,SMOTE,5,RBDDecay_D1D2,1.973204197886161
HIV,SMOTE,6,RBDProduction_D3,2.001547257941236
HIV,SMOTE,7,RBDDecay_D3,1.97923589778457
HIV,SMOTE,8,V1_blood_IgGspike,1.2654445774357084
HIV,SMOTE,9,V4_blood_IgGspike,1.2487146082632652
HIV,SMOTE,10,V4a_blood_IgGspike,0.5569365892251134
HIV,SMOTE,11,V6_blood_IgGspike,0.6058980001867479
HIV,SMOTE,12,V8_blood_IgGspike,0.6954987409758931
HIV,SMOTE,13,V8a_blood_IgGspike,1.2319180117702704
HIV,SMOTE,14,V8b_blood_IgGspike,1.0260092271525512
HIV,SMOTE,15,V9_blood_IgGspike,1.405146772521805
HIV,SMOTE,16,V10_blood_IgGspike,1.8930753177017063
HIV,SMOTE,17,V11_blood_IgGspike,0.7839660050223919
HIV,SMOTE,18,V1_blood_IgGRBD,0.4749878657752912
HIV,SMOTE,19,V4_blood_IgGRBD,0.2068223792091485
HIV,SMOTE,20,V4a_blood_IgGRBD,0.182452102930776
HIV,SMOTE,21,V6_blood_IgGRBD,1.276766433771442
HIV,SMOTE,22,V8_blood_IgGRBD,0.9873060147407438
HIV,SMOTE,23,V8a_blood_IgGRBD,1.1032395444010512
HIV,SMOTE,24,V8b_blood_IgGRBD,0.7882411064211418
HIV,SMOTE,25,V9_blood_IgGRBD,0.5428722097003309
HIV,SMOTE,26,V10_blood_IgGRBD,0.8516900303584795
HIV,SMOTE,27,V11_blood_IgGRBD,0.3198004500647279
HIV,SMOTE,28,V4_Saliva_IgGspike,0.8342079252263628
HIV,SMOTE,29,V4_Saliva_IgGRBD,0.8544953692880379
HIV,SMOTE,30,V5_Saliva_IgGspike,0.5629724439019477
HIV,SMOTE,31,V5_Saliva_IgGRBD,0.6332624101549502
HIV,SMOTE,32,V8_Saliva_IgGspike,0.7024498884299457
HIV,SMOTE,33,V8_Saliva_IgGRBD,1.1051431897553952
HIV,SMOTE,34,V8b_Saliva_IgGspike,1.1537542609002236
HIV,SMOTE,35,V8b_Saliva_IgGRBD,1.4277829747599178
HIV,SMOTE,36,V9_Saliva_IgGspike,2.0229758701100264
HIV,SMOTE,37,V9_Saliva_IgGRBD,1.10818804621489
HIV,SMOTE,38,V4_Saliva_IgAspike,0.6444533856329353
HIV,SMOTE,39,V4_Saliva_IgARBD,1.2779806278207868
HIV,SMOTE,40,V5_Saliva_IgAspike,1.0202872145508677
HIV,SMOTE,41,V5_Saliva_IgARBD,1.230377702209897
HIV,SMOTE,42,V8_Saliva_IgAspike,0.8274079654807274
HIV,SMOTE,43,V8_Saliva_IgARBD,1.353768987843082
HIV,SMOTE,44,V8b_Saliva_IgAspike,0.8618881836544829
HIV,SMOTE,45,V8b_Saliva_IgARBD,0.7945174097199599
HIV,SMOTE,46,V9_Saliva_IgAspike,0.6363436737131534
HIV,SMOTE,47,V9_Saliva_IgARBD,0.3752300056237777
HIV,SMOTE,48,V8_IFNg,0.2850906430352498
HIV,SMOTE,49,V9_IFNg,0.9329635088566716
HIV,SMOTE,50,V8_IL2,0.3296986772460226
HIV,SMOTE,51,V9_IL2,1.2851495246970053
HIV,SMOTE,52,V9Dual,1.0342383492451004
HIV,SMOTE,53,V8Dual,0.6851300391223007
HIV,SMOTE,54,IFNG_production,0.9115974649305092
