dataset,method,repeat,tstr_f1,trtr_f1,utility_gap_abs
HIV,GMM,5,0.9710144927536232,0.9719211822660098,0.0009066895123865937
HIV,GMM,6,0.9710144927536232,0.9603345280764636,0.010679964677159592
HIV,GMM,7,0.9710144927536232,0.9496989600437876,0.02131553270983555
HIV,GMM,8,0.9710144927536232,0.9719029374201789,0.0008884446665556878
HIV,GMM,9,0.9781021897810219,0.97192118226601,0.006181007515011938
HIV,GMM,10,0.9784172661870504,0.9728735632183909,0.00554370296865947
HIV,GMM,11,0.9855072463768116,0.9594628952804705,0.02604435109634118
HIV,GMM,12,0.9710144927536232,0.9723809523809525,0.0013664596273292862
HIV,GMM,13,0.9784172661870504,0.958128078817734,0.020289187369316397
HIV,GMM,14,0.9710144927536232,0.9723627075351213,0.0013482147814981582
HIV,GMM,15,0.9784172661870504,0.9713920817369093,0.007025184450141109
HIV,GMM,16,0.9710144927536232,0.9713920817369093,0.00037758898328610346
HIV,GMM,17,0.9710144927536232,0.9645137748586023,0.006500717895020824
HIV,GMM,18,0.9710144927536232,0.9713920817369093,0.00037758898328610346
HIV,GMM,19,0.9710144927536232,0.9782886334610472,0.007274140707424048
Breast Cancer,GMM,0,0.9678321678321679,0.9693090695899409,0.0014769017577730414
Breast Cancer,GMM,1,0.9678321678321679,0.9708217339834629,0.0029895661512950866
Breast Cancer,GMM,2,0.9678321678321679,0.9693457004384639,0.001513532606296053
Breast Cancer,GMM,3,0.9634831460674157,0.9721019255727505,0.00861877950533485
Breast Cancer,GMM,4,0.9648382559774965,0.9653388938833949,0.0005006379058983823
Breast Cancer,GMM,5,0.9649368863955119,0.9651268184702835,0.00018993207477158158
Breast Cancer,GMM,6,0.9663865546218487,0.9760991556439162,0.009712601022067502
Breast Cancer,GMM,7,0.9649368863955119,0.966544694946722,0.0016078085512101215
Breast Cancer,GMM,8,0.9649368863955119,0.9667799902865468,0.0018431038910349251
