dataset,method,original_auc_mean,copula_baseline_auc,target_full_auc,control_full_auc,target_full_auc_reduction,control_full_auc_reduction,target_structural_error_0,target_structural_error_1,control_structural_error_1,structural_error_change,structural_error_monotone_down,auc_reduction_monotone_up,targeted_beats_control_at_1,mean_marginal_ks_at_1,supports_hypothesis,error_edge_count
HIV,Bootstrap,0.7103024574669188,0.8129867674858222,0.8190359168241966,0.8696030245746692,-0.006049149338374307,-0.056616257088846905,4.635119032835811,4.6525383114336885,4.716650507739765,0.017419278597877508,False,False,True,0.13121726951650226,False,109
HIV,CVAE,0.9952741020793949,0.9981663516068053,0.9985822306238186,0.9986389413988658,-0.0004158790170132365,-0.00047258979206048934,4.595129817008799,4.6266754088183095,4.732384722411182,0.03154559180951022,False,False,True,0.1384433483538343,False,304
Breast Cancer,Bootstrap,0.709611444893135,0.9829109622771594,0.9831552250566336,0.9992445582586427,-0.0002442627794740515,-0.0163335959814833,2.808856805309599,2.8115753253100233,3.96230889497788,0.0027185200004242738,False,False,True,0.05209159135352254,False,15
Breast Cancer,CVAE,0.8236437506155816,0.9329508519649364,0.9450364424308088,0.9918250763321186,-0.012085590465872171,-0.05887422436718213,2.443862796764084,2.5781638861029785,3.6770787818711193,0.13430108933889473,False,False,True,0.05298786181139122,False,39
Diabetes,Bootstrap,0.7166674804687498,0.6549452039930556,0.6588650173611111,0.8093329535590277,-0.003919813368055583,-0.1543877495659722,0.44134739992496563,0.41407653854156456,1.477002020926196,-0.027270861383401068,False,False,True,0.04324701492537313,False,8
Diabetes,CVAE,0.9944615342881944,0.9882736545138888,0.9874267578125,0.98890380859375,0.0008468967013888862,-0.0006301540798611094,1.3179720825144676,0.8162046845066233,1.5148362641693758,-0.5017673980078443,True,False,True,0.046542910447761196,False,22
