repeat,seed,dataset,prior,feature_index,feature,n_real,n_synthetic,real_mean,synthetic_mean,mean_difference,t_statistic,p_value,ks_statistic,standardized_mean_difference,standardized_wasserstein
0,42,HIV,Normal,1,spikeProduction_D1D2,91,91,3.140899490524124,3.126941156911326,-0.013958333612797968,0.9618926635037736,0.33810247634536594,0.31868131868131866,-0.10804998552967893,0.5575158646388269
0,42,HIV,Normal,2,spikeDecay_D1D2,91,91,0.024470117864209218,0.024514811522849313,4.469365864009575e-05,-0.41512022189883735,0.6788171601546592,0.25274725274725274,0.04668647239302035,0.465768480874902
0,42,HIV,Normal,3,spikeProduction_D3,91,91,0.62353461260324,0.6238028963843545,0.0002682837811145422,-0.601515868165906,0.5487922133078729,0.32967032967032966,0.06564359153867781,0.4884716779893993
0,42,HIV,Normal,4,spikeDecay_D3,91,91,0.008703867730858562,0.008663025684654713,-4.084204620384904e-05,1.5407788119030699,0.1262435138064941,0.2967032967032967,-0.17033790296438403,0.44260723005380687
0,42,HIV,Normal,5,RBDProduction_D1D2,91,91,2.404523417189881,2.395752673620706,-0.008770743569174844,0.7907004884480088,0.430856742420728,0.31868131868131866,-0.08690235547562412,0.5056268306363131
0,42,HIV,Normal,6,RBDDecay_D1D2,91,91,0.021558716197262753,0.021585806426438658,2.7090229175904396e-05,-1.0424271381105261,0.29970188913972257,0.38461538461538464,0.11258499065154239,0.5772286055383817
0,42,HIV,Normal,7,RBDProduction_D3,91,91,0.8169864972869119,0.8187278509140015,0.0017413536270896035,-0.6823124086215446,0.4964939829151528,0.24175824175824176,0.0751741954076224,0.47761987551872376
0,42,HIV,Normal,8,RBDDecay_D3,91,91,0.011376512891889274,0.01135639913871393,-2.0113753175343696e-05,0.8067740166005127,0.42151706469088224,0.34065934065934067,-0.08951305736573724,0.5300193382728904
0,42,HIV,Normal,9,V1_blood_IgGspike,91,91,6.896112140718397,4.910506625751872,-1.985605514966525,2.4667538442182204,0.015416594855104422,0.3516483516483517,-0.2625059084248054,0.4283410578657387
0,42,HIV,Normal,10,V4_blood_IgGspike,91,91,203.0056377518308,98.69736002827739,-104.3082777235534,3.4043761064211395,0.0009632687947358262,0.23076923076923078,-0.3644361096903538,0.39751138812474013
0,42,HIV,Normal,11,V4a_blood_IgGspike,91,91,125.34833855812366,67.62417250413161,-57.72416605399205,2.824842785346524,0.005773267172357178,0.25274725274725274,-0.2996310580075564,0.3432316521066568
0,42,HIV,Normal,12,V6_blood_IgGspike,91,91,924.6595707568493,648.6045869261354,-276.0549838307139,4.669048979692374,6.751336870504415e-06,0.4065934065934066,-0.5707376335748061,0.6520080673446698
0,42,HIV,Normal,13,V8_blood_IgGspike,91,91,483.44704525287335,241.40032967368325,-242.0467155791901,4.936875251779554,2.7402462461650586e-06,0.3626373626373626,-0.5513631406154708,0.5882251313870075
0,42,HIV,Normal,14,V8a_blood_IgGspike,91,91,339.3911614889627,162.83532983130152,-176.5558316576612,4.748222735622212,6.594748384997337e-06,0.3516483516483517,-0.5166817820729049,0.5414336137084533
0,42,HIV,Normal,15,V8b_blood_IgGspike,91,91,1349.6065938760946,1331.184601165436,-18.421992710658515,0.49837319264340973,0.6189546631726521,0.4175824175824176,-0.061274219714153526,0.3481442220801037
0,42,HIV,Normal,16,V9_blood_IgGspike,91,91,1015.3168724814614,902.3908285623069,-112.9260439191545,1.9985324743597894,0.047786782949401294,0.43956043956043955,-0.23121144139091418,0.5430184009613713
0,42,HIV,Normal,17,V10_blood_IgGspike,91,91,962.7392485063154,666.1010832734161,-296.6381652328994,4.962400734831625,2.4777902141968603e-06,0.4945054945054945,-0.5531650789361874,0.7257086905812848
0,42,HIV,Normal,18,V11_blood_IgGspike,91,91,1314.8465629829154,1259.7038191910628,-55.14274379185258,1.4464396421744363,0.15042246757839756,0.5934065934065934,-0.1694115582187687,0.5825761345984698
0,42,HIV,Normal,19,V1_blood_IgGRBD,91,91,5.13758461029975,4.0684700693402975,-1.0691145409594522,1.2996970166291038,0.1969394735319329,0.4175824175824176,-0.1371348328145224,0.1960929327514776
0,42,HIV,Normal,20,V4_blood_IgGRBD,91,91,226.04022855549067,72.43065810989548,-153.60957044559518,2.6230344109722643,0.010205125037568633,0.23076923076923078,-0.276309457844824,0.28940080654718503
0,42,HIV,Normal,21,V4a_blood_IgGRBD,91,91,159.47874348504203,48.36857600788494,-111.11016747715709,2.153103276855722,0.033968953973685774,0.2857142857142857,-0.2260396678148928,0.24039501937701335
0,42,HIV,Normal,22,V6_blood_IgGRBD,91,91,1757.633392538343,951.8726256653503,-805.7607668729928,4.948641533025588,2.3815258189359018e-06,0.3076923076923077,-0.5673423304176582,0.6055062776137758
0,42,HIV,Normal,23,V8_blood_IgGRBD,91,91,562.1188489578583,194.83241058181932,-367.286438376039,4.258468515978514,4.755868979223999e-05,0.3516483516483517,-0.4552187252679552,0.4679248983730921
0,42,HIV,Normal,24,V8a_blood_IgGRBD,91,91,494.1665499446156,167.281799526005,-326.8847504186106,3.718803358208079,0.0003407911669006291,0.3516483516483517,-0.39384490008307566,0.4027214143061643
