dataset,prior,abs_smd_relative_change,abs_smd_fraction_improved,abs_smd_wilcoxon_p,ks_relative_change,ks_fraction_improved,ks_wilcoxon_p,wasserstein_relative_change,wasserstein_fraction_improved,wasserstein_wilcoxon_p
HIV,Log-normal,0.01774502572965786,0.48148148148148145,0.29567535657615196,0.1239573229873907,0.21693121693121692,1.373637968271752e-13,0.08371925468650776,0.32275132275132273,2.280413952086158e-11
HIV,Class GMM,-0.12816746322859474,0.6984126984126984,7.387791547763437e-08,-0.14180407371483994,0.7407407407407407,4.150830885995104e-19,-0.14241513746723833,0.8941798941798942,1.0825235610139327e-27
Breast Cancer,Log-normal,0.27595829710979514,0.4888888888888889,0.06683377092273182,0.3236775818639799,0.2222222222222222,5.022681129462042e-08,0.28874469806781544,0.2111111111111111,1.451914104392507e-09
Breast Cancer,Class GMM,-0.1369072068432582,0.5888888888888889,0.0929787066210059,-0.17632241813602023,0.6555555555555556,2.312956033541037e-06,-0.23863195586532482,0.8222222222222222,7.805966258476379e-11
Diabetes,Log-normal,-0.12431953292499154,0.5416666666666666,0.4389305114746094,0.12035344302254702,0.125,0.004046094748723528,0.1300469336389629,0.20833333333333334,0.013779282569885254
Diabetes,Class GMM,0.037975268471846624,0.4166666666666667,0.6033114194869995,0.02925045703839113,0.3333333333333333,0.18394464871674765,0.02000622568318855,0.375,0.45587432384490967
