dataset,prior,feature,significant_repeat_fraction
HIV,Log-normal,V8_Saliva_IgARBD,1.0
HIV,Log-normal,V8b_Saliva_IgAspike,1.0
HIV,Log-normal,V8b_Saliva_IgARBD,0.3333333333333333
HIV,Log-normal,V9_Saliva_IgAspike,0.6666666666666666
HIV,Log-normal,V9_Saliva_IgARBD,0.6666666666666666
HIV,Log-normal,V8_IFNg,0.3333333333333333
HIV,Log-normal,V9_IFNg,1.0
HIV,Log-normal,V8_IL2,0.3333333333333333
HIV,Log-normal,V9_IL2,0.3333333333333333
HIV,Log-normal,V9Dual,0.6666666666666666
HIV,Log-normal,V8Dual,0.6666666666666666
HIV,Log-normal,IFNG_production,0.3333333333333333
HIV,Log-normal,Il2_production,0.3333333333333333
HIV,Log-normal,RATIO_CD4CD8,0.3333333333333333
HIV,Log-normal,V8Neut,1.0
HIV,Log-normal,V9Neut,1.0
HIV,Log-normal,V7_ACE2,0.6666666666666666
HIV,Log-normal,V8_ACE2,0.6666666666666666
HIV,Log-normal,V8b_ACE2,0.6666666666666666
HIV,Log-normal,V9_ACE2,1.0
HIV,Class GMM,spikeProduction_D1D2,0.0
HIV,Class GMM,spikeDecay_D1D2,0.0
HIV,Class GMM,spikeProduction_D3,0.0
HIV,Class GMM,spikeDecay_D3,0.0
HIV,Class GMM,RBDProduction_D1D2,0.0
HIV,Class GMM,RBDDecay_D1D2,0.0
HIV,Class GMM,RBDProduction_D3,0.0
HIV,Class GMM,RBDDecay_D3,0.0
HIV,Class GMM,V1_blood_IgGspike,0.3333333333333333
HIV,Class GMM,V4_blood_IgGspike,1.0
HIV,Class GMM,V4a_blood_IgGspike,0.6666666666666666
HIV,Class GMM,V6_blood_IgGspike,0.3333333333333333
HIV,Class GMM,V8_blood_IgGspike,1.0
HIV,Class GMM,V8a_blood_IgGspike,1.0
HIV,Class GMM,V8b_blood_IgGspike,0.0
HIV,Class GMM,V9_blood_IgGspike,0.3333333333333333
HIV,Class GMM,V10_blood_IgGspike,1.0
HIV,Class GMM,V11_blood_IgGspike,0.0
HIV,Class GMM,V1_blood_IgGRBD,0.0
HIV,Class GMM,V4_blood_IgGRBD,1.0
HIV,Class GMM,V4a_blood_IgGRBD,0.3333333333333333
HIV,Class GMM,V6_blood_IgGRBD,1.0
HIV,Class GMM,V8_blood_IgGRBD,1.0
HIV,Class GMM,V8a_blood_IgGRBD,1.0
HIV,Class GMM,V8b_blood_IgGRBD,0.3333333333333333
HIV,Class GMM,V9_blood_IgGRBD,1.0
HIV,Class GMM,V10_blood_IgGRBD,1.0
HIV,Class GMM,V11_blood_IgGRBD,1.0
HIV,Class GMM,V4_Saliva_IgGspike,1.0
HIV,Class GMM,V4_Saliva_IgGRBD,1.0
HIV,Class GMM,V5_Saliva_IgGspike,0.6666666666666666
HIV,Class GMM,V5_Saliva_IgGRBD,0.6666666666666666
HIV,Class GMM,V8_Saliva_IgGspike,1.0
HIV,Class GMM,V8_Saliva_IgGRBD,1.0
HIV,Class GMM,V8b_Saliva_IgGspike,0.0
HIV,Class GMM,V8b_Saliva_IgGRBD,0.3333333333333333
HIV,Class GMM,V9_Saliva_IgGspike,0.6666666666666666
HIV,Class GMM,V9_Saliva_IgGRBD,1.0
HIV,Class GMM,V4_Saliva_IgAspike,1.0
HIV,Class GMM,V4_Saliva_IgARBD,0.6666666666666666
HIV,Class GMM,V5_Saliva_IgAspike,1.0
HIV,Class GMM,V5_Saliva_IgARBD,1.0
HIV,Class GMM,V8_Saliva_IgAspike,0.3333333333333333
HIV,Class GMM,V8_Saliva_IgARBD,1.0
HIV,Class GMM,V8b_Saliva_IgAspike,1.0
HIV,Class GMM,V8b_Saliva_IgARBD,0.6666666666666666
HIV,Class GMM,V9_Saliva_IgAspike,0.6666666666666666
HIV,Class GMM,V9_Saliva_IgARBD,1.0
HIV,Class GMM,V8_IFNg,0.6666666666666666
HIV,Class GMM,V9_IFNg,0.6666666666666666
HIV,Class GMM,V8_IL2,0.6666666666666666
HIV,Class GMM,V9_IL2,1.0
HIV,Class GMM,V9Dual,0.0
HIV,Class GMM,V8Dual,0.6666666666666666
HIV,Class GMM,IFNG_production,0.0
HIV,Class GMM,Il2_production,0.0
HIV,Class GMM,RATIO_CD4CD8,0.0
HIV,Class GMM,V8Neut,0.3333333333333333
HIV,Class GMM,V9Neut,1.0
HIV,Class GMM,V7_ACE2,1.0
HIV,Class GMM,V8_ACE2,1.0
HIV,Class GMM,V8b_ACE2,1.0
HIV,Class GMM,V9_ACE2,1.0
Breast Cancer,Normal,mean radius,0.0
Breast Cancer,Normal,mean texture,0.3333333333333333
Breast Cancer,Normal,mean perimeter,0.0
Breast Cancer,Normal,mean area,0.0
Breast Cancer,Normal,mean smoothness,0.0
Breast Cancer,Normal,mean compactness,0.0
Breast Cancer,Normal,mean concavity,0.0
Breast Cancer,Normal,mean concave points,0.0
Breast Cancer,Normal,mean symmetry,0.0
Breast Cancer,Normal,mean fractal dimension,0.0
