dataset,prior,repeats,feature_tests,prop_p_below_0_05,median_p_value,mean_abs_standardized_mean_difference,median_ks,mean_ks,mean_standardized_wasserstein,prop_features_significant_majority,prop_features_significant_every_repeat
HIV,Normal,3,189,0.6931216931216931,0.01083570616381146,0.28079416727241424,0.2857142857142857,0.2997267282981569,0.44733981140320045,0.7301587301587301,0.6031746031746031
HIV,Log-normal,3,189,0.6296296296296297,0.01742311146109783,0.2857768669954011,0.32967032967032966,0.33688005116576547,0.4847907670054793,0.6666666666666666,0.4126984126984127
HIV,Class GMM,3,189,0.6031746031746031,0.02679050908504781,0.24480549116372322,0.24175824175824176,0.25722425722425724,0.3836318506676452,0.6190476190476191,0.4444444444444444
Breast Cancer,Normal,3,90,0.06666666666666667,0.34254962311784265,0.055881856259122585,0.06590509666080843,0.07752392110915836,0.13436190608508347,0.0,0.0
Breast Cancer,Log-normal,3,90,0.28888888888888886,0.29461662867937377,0.0713029181517244,0.10193321616871705,0.1026166764303847,0.1731581940894371,0.13333333333333333,0.03333333333333333
Breast Cancer,Class GMM,3,90,0.06666666666666667,0.43280321710584735,0.048231227405469666,0.06063268892794376,0.0638547158758055,0.10229886164220693,0.0,0.0
Diabetes,Normal,3,24,0.5416666666666666,0.025508151289911428,0.09499883004158527,0.15755208333333331,0.17805989583333334,0.23787748373670403,0.5,0.5
Diabetes,Log-normal,3,24,0.4166666666666667,0.07112087545057272,0.08318861986239473,0.20247395833333334,0.19949001736111113,0.26881272107841464,0.375,0.25
Diabetes,Class GMM,3,24,0.5,0.05782684471355667,0.09860643611692581,0.17838541666666669,0.18326822916666666,0.2426365143612895,0.625,0.25
