dataset,method,run,separability_auc
HIV,GMM,46,1.0
HIV,GMM,47,1.0
HIV,GMM,48,1.0
HIV,GMM,49,1.0
HIV,CVAE,0,0.9943289224952742
HIV,CVAE,1,0.998109640831758
HIV,CVAE,2,0.9943289224952742
HIV,CVAE,3,0.9962192816635161
HIV,CVAE,4,1.0
HIV,CVAE,5,0.996219281663516
HIV,CVAE,6,0.9905482041587902
HIV,CVAE,7,0.994328922495274
HIV,CVAE,8,1.0
HIV,CVAE,9,0.994328922495274
HIV,CVAE,10,0.994328922495274
HIV,CVAE,11,1.0
HIV,CVAE,12,1.0
HIV,CVAE,13,1.0
HIV,CVAE,14,0.9773156899810964
HIV,CVAE,15,0.9924385633270322
HIV,CVAE,16,0.998109640831758
HIV,CVAE,17,0.9848771266540642
HIV,CVAE,18,1.0
HIV,CVAE,19,0.994328922495274
HIV,CVAE,20,0.9943289224952742
HIV,CVAE,21,0.994328922495274
HIV,CVAE,22,1.0
HIV,CVAE,23,1.0
HIV,CVAE,24,1.0
HIV,CVAE,25,1.0
HIV,CVAE,26,0.9962192816635161
HIV,CVAE,27,0.996219281663516
HIV,CVAE,28,1.0
HIV,CVAE,29,1.0
HIV,CVAE,30,1.0
HIV,CVAE,31,1.0
HIV,CVAE,32,1.0
HIV,CVAE,33,0.9924385633270322
HIV,CVAE,34,0.9924385633270322
HIV,CVAE,35,1.0
HIV,CVAE,36,0.998109640831758
HIV,CVAE,37,0.998109640831758
HIV,CVAE,38,0.9943289224952742
HIV,CVAE,39,0.9678638941398866
HIV,CVAE,40,1.0
HIV,CVAE,41,0.9848771266540643
HIV,CVAE,42,0.9962192816635161
HIV,CVAE,43,0.9829867674858224
HIV,CVAE,44,0.9867674858223062
HIV,CVAE,45,1.0
HIV,CVAE,46,0.9943289224952742
HIV,CVAE,47,0.998109640831758
HIV,CVAE,48,0.9962192816635161
HIV,CVAE,49,1.0
Breast Cancer,Bootstrap,0,0.7306461144489313
Breast Cancer,Bootstrap,1,0.6920122131389737
Breast Cancer,Bootstrap,2,0.7234068748153255
Breast Cancer,Bootstrap,3,0.7071555205358022
Breast Cancer,Bootstrap,4,0.717571161233133
Breast Cancer,Bootstrap,5,0.6725352112676056
Breast Cancer,Bootstrap,6,0.7412341179946814
Breast Cancer,Bootstrap,7,0.6900177287501231
Breast Cancer,Bootstrap,8,0.700851964936472
Breast Cancer,Bootstrap,9,0.7047178173938737
Breast Cancer,Bootstrap,10,0.7359647394858663
Breast Cancer,Bootstrap,11,0.7346104599625727
Breast Cancer,Bootstrap,12,0.7445582586427657
Breast Cancer,Bootstrap,13,0.7113168521619225
Breast Cancer,Bootstrap,14,0.7484241111001675
Breast Cancer,Bootstrap,15,0.6853146853146853
Breast Cancer,Bootstrap,16,0.7393381266620703
Breast Cancer,Bootstrap,17,0.6886634492268295
Breast Cancer,Bootstrap,18,0.723086772382547
Breast Cancer,Bootstrap,19,0.7039544962080173
Breast Cancer,Bootstrap,20,0.6973554614399684
Breast Cancer,Bootstrap,21,0.6909534127843987
Breast Cancer,Bootstrap,22,0.6832217078695952
Breast Cancer,Bootstrap,23,0.7244902984339604
Breast Cancer,Bootstrap,24,0.6953117305229981
Breast Cancer,Bootstrap,25,0.7070570274795627
Breast Cancer,Bootstrap,26,0.7193440362454446
Breast Cancer,Bootstrap,27,0.6702944942381562
Breast Cancer,Bootstrap,28,0.6962720378213336
Breast Cancer,Bootstrap,29,0.7065153156702453
Breast Cancer,Bootstrap,30,0.6981187826258248
Breast Cancer,Bootstrap,31,0.7116615778587609
Breast Cancer,Bootstrap,32,0.7461587708066582
Breast Cancer,Bootstrap,33,0.7267802619915296
Breast Cancer,Bootstrap,34,0.6944745395449621
Breast Cancer,Bootstrap,35,0.7352260415640698
Breast Cancer,Bootstrap,36,0.686004136708362
Breast Cancer,Bootstrap,37,0.6903624544469615
Breast Cancer,Bootstrap,38,0.7311139564660691
Breast Cancer,Bootstrap,39,0.6818674283463015
Breast Cancer,Bootstrap,40,0.7222988279326308
Breast Cancer,Bootstrap,41,0.7134590761351325
Breast Cancer,Bootstrap,42,0.6893282773564464
Breast Cancer,Bootstrap,43,0.6745050723923963
Breast Cancer,Bootstrap,44,0.7036590170392987
Breast Cancer,Bootstrap,45,0.725425982468236
Breast Cancer,Bootstrap,46,0.7138776716241505
Breast Cancer,Bootstrap,47,0.7015167930660888
Breast Cancer,Bootstrap,48,0.7119078104993598
Breast Cancer,Bootstrap,49,0.736629567615483
Breast Cancer,Column-wise,0,0.9995075347188023
Breast Cancer,Column-wise,1,0.9999999999999999
Breast Cancer,Column-wise,2,0.9999015069437605
Breast Cancer,Column-wise,3,1.0
Breast Cancer,Column-wise,4,0.9997045208312814
Breast Cancer,Column-wise,5,0.9991874322860238
Breast Cancer,Column-wise,6,0.9999999999999999
Breast Cancer,Column-wise,7,1.0
Breast Cancer,Column-wise,8,0.9999015069437605
Breast Cancer,Column-wise,9,0.9996552743031616
