dataset,method,n_features_removed,n_features_retained,auc_mean,auc_sd,auc_values
HIV,Column-wise,26,37,0.7571361058601134,0.061296535679914554,"[0.77882797731569, 0.7835538752362949, 0.7674858223062382, 0.6852551984877127, 0.7967863894139886, 0.8251417769376181, 0.7476370510396976, 0.7589792060491493, 0.667296786389414, 0.7693761814744802, 0.8402646502835539, 0.6956521739130435, 0.7372400756143668, 0.6465028355387523, 0.6521739130434783, 0.8393194706994327, 0.8383742911153119, 0.831758034026465, 0.7268431001890359, 0.7542533081285444]"
HIV,Column-wise,35,28,0.7363421550094518,0.06032991401646429,"[0.8147448015122873, 0.7627599243856332, 0.7296786389413988, 0.724007561436673, 0.7807183364839319, 0.7542533081285445, 0.6663516068052929, 0.7466918714555766, 0.6379962192816635, 0.727788279773157, 0.7589792060491494, 0.6550094517958411, 0.723062381852552, 0.6540642722117203, 0.6408317580340265, 0.7618147448015122, 0.7457466918714556, 0.8799621928166352, 0.7892249527410209, 0.7731568998109641]"
HIV,Column-wise,44,19,0.5968336483931947,0.04946412481512494,"[0.5330812854442344, 0.6379962192816635, 0.5349716446124764, 0.609640831758034, 0.6465028355387523, 0.6379962192816635, 0.5897920604914934, 0.5746691871455576, 0.5879017013232514, 0.558601134215501, 0.720226843100189, 0.5472589792060492, 0.6096408317580341, 0.5132325141776937, 0.6162570888468809, 0.5529300567107751, 0.5633270321361059, 0.6436672967863893, 0.6427221172022684, 0.6162570888468808]"
HIV,Column-wise,52,11,0.5636578449905483,0.048068933535861974,"[0.556710775047259, 0.5340264650283555, 0.5217391304347826, 0.5982986767485823, 0.501890359168242, 0.6786389413988657, 0.5245746691871456, 0.555765595463138, 0.6275992438563327, 0.5293005671077504, 0.6058601134215501, 0.551984877126654, 0.502835538752363, 0.5841209829867675, 0.5170132325141776, 0.5302457466918715, 0.5396975425330813, 0.5812854442344045, 0.6531190926275993, 0.5784499054820416]"
HIV,Column-wise,61,2,0.6203213610586011,0.0671470770575209,"[0.6729678638941399, 0.665406427221172, 0.6200378071833648, 0.6965973534971645, 0.6049149338374291, 0.6909262759924386, 0.611531190926276, 0.6436672967863895, 0.5472589792060492, 0.5604914933837428, 0.5415879017013232, 0.5434782608695652, 0.5548204158790171, 0.500945179584121, 0.7155009451795842, 0.6635160680529302, 0.6984877126654064, 0.6181474480151229, 0.5359168241965974, 0.720226843100189]"
HIV,GMM,0,63,1.0,0.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
HIV,GMM,9,54,0.9546786389413988,0.02836716044194002,"[0.9669187145557656, 0.8667296786389415, 0.9376181474480152, 0.9829867674858224, 0.9659735349716446, 0.9848771266540643, 0.9669187145557656, 0.9451795841209829, 0.9584120982986768, 0.9527410207939508, 0.9792060491493384, 0.9489603024574669, 0.9754253308128544, 0.9489603024574669, 0.95179584120983, 0.9328922495274101, 0.9754253308128545, 0.9631379962192816, 0.9026465028355388, 0.9867674858223063]"
HIV,GMM,17,46,0.8706521739130435,0.05125739036926171,"[0.9168241965973535, 0.7060491493383743, 0.8421550094517959, 0.9083175803402646, 0.8289224952741021, 0.8809073724007561, 0.945179584120983, 0.8648393194706995, 0.827977315689981, 0.9243856332703213, 0.9262759924385634, 0.8686200378071834, 0.9083175803402646, 0.9196597353497165, 0.8431001890359168, 0.8818525519848771, 0.8638941398865785, 0.8468809073724007, 0.8563327032136105, 0.8525519848771267]"
HIV,GMM,26,37,0.826039697542533,0.05496564671776938,"[0.8478260869565217, 0.6493383742911153, 0.781663516068053, 0.8534971644612477, 0.7996219281663517, 0.8412098298676748, 0.9073724007561437, 0.8223062381852553, 0.8695652173913043, 0.8846880907372401, 0.8771266540642721, 0.8648393194706994, 0.831758034026465, 0.8553875236294897, 0.8005671077504726, 0.8213610586011342, 0.829867674858223, 0.8468809073724007, 0.77882797731569, 0.7570888468809074]"
HIV,GMM,35,28,0.7106805293005671,0.07575713129392411,"[0.7920604914933838, 0.5075614366729679, 0.724007561436673, 0.6465028355387523, 0.7173913043478262, 0.7523629489603025, 0.8327032136105861, 0.7069943289224954, 0.6332703213610587, 0.7249527410207939, 0.7334593572778828, 0.7325141776937618, 0.6862003780718336, 0.8449905482041588, 0.6890359168241965, 0.7098298676748582, 0.7258979206049149, 0.7759924385633271, 0.6880907372400756, 0.5897920604914934]"
